feature,importance
V14,0.17678745038715496
V10,0.11424994156475926
V4,0.11407946837592489
V12,0.09819928175997013
V17,0.08913845958610815
V3,0.06337700713336337
V11,0.054157075356169454
V16,0.05070902514621904
V2,0.03042349707788861
V7,0.025307317167221847
V21,0.018353253077893934
V9,0.018230955209646328
V19,0.013883766937637128
Amount,0.012658914816459527
V20,0.011702348289172165
V27,0.010868706658415953
V18,0.010221199638755752
V8,0.009593649361630284
V26,0.008810134275183013
V1,0.00855665327296007
V13,0.008196818654168441
V5,0.0073584432109362104
V15,0.006830646811433079
V28,0.0067557420310570965
V23,0.005924835966775708
V22,0.005822108290846513
V6,0.005700794719354255
Time,0.004757486832890337
V24,0.004703901239620531
V25,0.0046411171503839875
